SEQN,K2_cluster,K3_cluster,K4_cluster,K5_cluster,K6_cluster,K7_cluster
101256.0,1,2,2,2,2,1
101262.0,0,0,1,3,3,0
101307.0,1,2,1,2,2,1
101308.0,1,1,0,1,4,5
101322.0,0,0,1,3,3,0
101330.0,1,1,0,1,5,4
101355.0,0,0,1,3,3,0
101356.0,1,1,0,1,5,4
101359.0,1,1,2,0,2,5
101366.0,1,1,0,0,4,2
101370.0,1,1,0,1,5,4
101372.0,1,1,0,1,5,5
101379.0,0,0,3,4,1,3
101399.0,0,0,3,4,1,3
101400.0,0,0,3,3,3,0
101411.0,0,0,1,3,3,0
101412.0,1,1,0,1,5,4
101416.0,0,0,3,4,1,3
101427.0,1,1,0,1,5,4
101439.0,0,0,3,4,1,3
101446.0,1,1,0,1,5,4
101448.0,0,0,3,4,1,3
101449.0,1,2,2,2,2,1
101462.0,1,2,2,2,2,1
101464.0,1,1,0,1,5,4
101472.0,1,1,0,0,4,2
101484.0,0,0,1,3,3,0
101516.0,0,1,0,1,5,4
