SEQN,K2_cluster,K3_cluster,K4_cluster,K5_cluster,K6_cluster,K7_cluster,K8_cluster,K9_cluster,K10_cluster
96681.0,0,1,2,3,0,1,6,0,6
96705.0,1,0,3,1,3,6,4,7,5
96708.0,1,2,1,4,1,4,5,1,7
96725.0,1,2,2,3,0,0,1,8,6
96748.0,0,2,2,3,4,3,3,3,4
96750.0,0,1,2,3,0,1,6,0,6
96756.0,0,1,2,3,4,3,3,8,4
96766.0,0,1,2,3,4,3,3,3,2
96793.0,0,1,0,2,2,5,0,2,8
96810.0,1,2,1,4,1,0,1,8,4
96826.0,1,0,3,1,0,1,4,7,5
96844.0,0,0,0,0,5,5,4,7,9
96848.0,0,1,2,3,4,3,3,3,2
96852.0,0,1,0,2,2,5,0,2,8
96860.0,1,2,2,4,0,0,1,8,4
96865.0,1,2,1,4,1,4,5,1,7
96885.0,1,0,3,1,3,6,4,7,5
96890.0,1,0,3,1,3,6,7,6,5
96898.0,0,0,3,2,2,5,4,7,9
96899.0,1,0,3,1,3,6,7,6,0
96901.0,1,2,1,4,1,0,1,1,7
96907.0,0,1,2,3,4,3,3,3,2
96922.0,0,0,3,2,3,6,7,6,0
96925.0,0,1,0,2,2,5,0,2,8
96926.0,1,0,3,1,3,6,7,6,0
96939.0,1,2,1,4,0,0,1,8,4
96951.0,0,1,0,2,2,1,6,0,6
96954.0,0,0,0,0,5,2,2,4,1
96970.0,1,2,1,4,1,0,1,8,7
96992.0,1,0,3,1,3,6,7,6,0
97000.0,0,0,0,2,2,1,4,0,9
97003.0,1,0,3,1,3,6,5,5,5
97011.0,1,2,1,4,0,0,1,8,7
97032.0,0,0,3,2,2,5,0,7,9
97041.0,1,2,1,4,1,0,1,8,4
97042.0,1,0,1,1,3,4,5,5,5
97044.0,1,2,1,4,1,4,5,5,7
97048.0,1,2,2,3,0,0,1,8,4
97060.0,1,0,3,1,3,6,4,7,5
97064.0,1,0,3,1,3,6,7,6,0
97065.0,0,1,0,2,2,5,0,2,8
97067.0,0,0,3,2,2,5,0,0,3
97077.0,0,1,0,3,4,3,3,3,2
97093.0,0,2,2,3,4,3,3,3,4
97094.0,1,2,1,4,1,4,5,1,7
97095.0,0,2,2,3,0,1,6,0,6
97108.0,0,0,0,2,2,5,4,7,9
97131.0,1,2,2,3,0,1,6,0,3
97137.0,1,2,1,4,1,4,5,5,3
97138.0,1,2,1,4,1,4,5,1,7
97147.0,1,2,1,4,1,0,1,1,7
97153.0,0,1,0,2,2,5,0,2,9
97166.0,1,2,1,4,0,1,6,0,6
97174.0,1,2,1,4,0,0,1,8,6
97177.0,0,1,0,2,2,5,0,2,8
97186.0,0,1,0,0,5,2,2,2,1
97223.0,1,0,3,1,3,6,7,6,0
97228.0,0,1,2,3,4,3,3,3,2
97231.0,0,1,0,2,2,1,6,0,6
97234.0,0,1,2,3,0,1,6,0,6
97236.0,1,0,3,1,3,6,7,6,0
97247.0,1,0,3,1,3,6,7,6,0
97260.0,0,2,2,3,0,1,6,0,6
97266.0,1,0,3,1,3,6,7,6,0
97270.0,1,2,2,3,0,1,6,8,4
97275.0,1,2,1,4,1,0,1,1,7
97280.0,0,1,0,2,2,5,0,2,9
97293.0,1,2,1,4,0,0,1,8,4
97299.0,0,1,0,2,2,5,0,2,9
97304.0,0,1,2,3,4,3,3,3,2
97338.0,0,1,2,3,4,3,3,3,2
97349.0,0,2,2,3,0,1,6,8,6
97379.0,1,0,3,1,3,6,4,7,0
97383.0,1,0,3,1,3,6,7,6,0
97410.0,1,2,1,4,1,4,5,1,7
97415.0,1,0,3,1,3,6,7,6,0
97418.0,0,2,2,3,0,1,6,8,6
97436.0,1,0,3,1,3,6,7,6,0
97446.0,0,0,3,2,2,5,0,7,9
97452.0,1,2,2,3,0,0,1,8,4
97456.0,1,0,3,1,3,6,7,6,0
97465.0,0,0,3,1,3,6,4,7,0
97468.0,1,0,3,1,3,6,7,6,0
97485.0,1,2,1,4,1,4,5,5,7
97487.0,1,2,1,4,0,0,1,8,4
97492.0,1,0,3,1,3,6,7,6,5
97497.0,1,0,3,1,3,6,7,6,0
97501.0,0,1,0,2,2,1,6,0,6
97533.0,1,0,3,1,3,6,4,7,5
97550.0,1,0,1,1,3,4,5,5,5
97560.0,0,0,3,2,2,5,0,6,9
97572.0,0,0,3,1,3,6,7,6,0
97577.0,0,0,0,2,2,5,4,7,9
97578.0,1,2,1,4,1,4,1,8,7
97580.0,1,0,3,1,3,6,5,5,5
97585.0,1,0,3,1,3,6,4,5,5
97595.0,1,0,3,1,3,6,4,7,5
97598.0,1,2,2,3,0,0,1,8,4
97620.0,0,1,0,0,5,2,2,4,1
97624.0,1,2,1,4,1,4,5,5,7
97638.0,1,0,3,1,3,6,4,7,0
97640.0,0,1,0,2,2,5,0,2,8
97643.0,0,1,2,3,4,3,3,3,2
97648.0,0,1,2,3,4,3,3,3,2
97659.0,0,0,3,2,2,5,0,6,0
97685.0,0,1,0,2,2,5,0,2,8
97688.0,0,1,0,0,5,2,2,4,1
97691.0,0,2,2,3,0,3,3,8,4
97692.0,1,0,3,1,3,6,4,7,9
97695.0,0,0,3,2,2,5,4,7,9
97699.0,1,2,1,4,0,1,6,0,6
97703.0,0,0,3,2,2,5,4,7,9
97704.0,0,2,2,3,0,1,6,3,2
97706.0,0,1,0,0,5,2,2,4,1
97735.0,0,0,3,2,2,5,0,2,9
97737.0,1,0,3,1,3,6,4,5,5
97741.0,1,2,1,4,1,4,1,8,7
97747.0,1,0,3,1,3,6,7,6,0
97768.0,0,2,2,3,0,0,1,8,4
97774.0,1,0,1,1,3,4,5,5,5
97782.0,1,2,1,4,1,0,1,1,7
97783.0,0,1,2,3,4,3,3,3,2
97787.0,1,2,1,4,1,0,1,6,0
97794.0,1,2,1,4,1,4,1,1,7
97827.0,0,1,2,3,0,1,6,8,6
97851.0,1,0,3,1,3,6,4,7,9
97876.0,1,2,2,3,0,0,1,8,4
97878.0,1,0,3,1,3,1,4,0,5
97896.0,1,2,1,4,0,1,6,0,6
97897.0,0,1,0,2,4,3,3,2,8
97928.0,0,0,3,2,2,5,4,7,9
97934.0,1,0,3,1,3,6,7,6,0
97940.0,1,0,3,1,3,6,4,7,5
97951.0,1,0,1,1,1,4,5,5,5
97952.0,0,1,2,3,0,1,6,8,6
97963.0,1,0,3,1,3,6,4,7,5
97974.0,1,2,1,4,0,4,1,8,7
97986.0,0,1,2,3,4,3,3,3,2
98018.0,1,0,3,1,3,6,7,6,5
98030.0,1,2,1,4,1,0,1,8,4
98033.0,1,2,1,4,1,0,1,6,0
98035.0,1,2,2,3,4,0,1,8,4
98046.0,0,1,2,3,4,3,3,3,2
98056.0,0,1,2,3,0,1,6,0,6
98082.0,0,1,0,0,5,2,2,4,1
98088.0,0,0,3,2,2,5,4,7,9
98092.0,0,1,0,2,2,5,0,2,8
98099.0,1,0,3,1,3,6,4,7,5
98100.0,0,1,0,2,2,5,0,2,8
98102.0,0,2,2,3,0,1,6,8,6
98103.0,1,2,1,1,1,6,7,6,0
98113.0,0,1,2,3,4,3,3,3,2
98135.0,0,1,2,3,4,3,3,3,2
98138.0,0,1,0,2,2,5,0,2,9
98144.0,1,2,1,4,0,1,6,8,4
98148.0,1,2,1,4,0,1,6,0,6
98156.0,0,1,2,3,0,1,6,0,6
98161.0,1,2,2,3,0,1,6,0,6
98168.0,1,2,1,4,0,1,6,8,4
98208.0,1,2,1,4,0,1,6,0,3
98225.0,0,1,0,2,2,5,0,2,8
98238.0,0,2,2,3,0,1,6,0,6
98241.0,1,0,3,1,3,6,7,6,0
98243.0,0,1,0,2,2,5,0,2,8
98256.0,1,2,1,4,1,4,5,5,3
98262.0,1,0,3,1,3,6,7,6,0
98271.0,0,1,0,2,2,5,0,2,8
98280.0,0,2,2,3,0,1,6,0,6
98293.0,0,1,0,2,2,3,3,2,2
98300.0,0,2,2,3,0,3,3,8,4
98314.0,0,0,3,2,2,5,4,7,9
98343.0,1,2,1,4,1,4,5,8,7
98350.0,0,1,0,0,5,2,2,4,1
98354.0,0,1,2,3,4,3,3,3,2
98374.0,0,1,2,3,4,3,3,3,2
98381.0,0,1,0,2,2,5,0,2,8
98416.0,1,2,1,4,1,4,5,5,7
98420.0,1,2,1,4,1,4,5,1,7
98426.0,1,0,3,1,3,6,4,5,5
98437.0,1,2,1,4,1,0,1,1,7
98444.0,0,1,2,3,4,3,3,3,2
98474.0,1,0,3,1,3,6,5,5,5
98475.0,0,0,3,2,2,5,4,7,9
98483.0,1,2,1,4,1,4,5,1,7
98485.0,1,0,3,1,3,6,7,6,0
98494.0,1,2,1,4,1,4,5,5,5
98495.0,1,0,1,1,3,4,5,6,0
98500.0,1,2,1,4,0,1,6,8,6
98512.0,0,1,2,0,5,2,2,4,1
98542.0,1,2,1,4,0,4,5,0,3
98545.0,1,2,1,4,1,0,1,1,4
98548.0,0,1,0,2,2,5,0,6,0
98551.0,1,2,1,4,0,0,1,8,7
98561.0,0,1,0,2,2,5,0,2,9
98565.0,1,2,1,4,1,4,5,1,7
98611.0,0,2,2,2,0,1,6,0,3
98661.0,1,2,1,4,1,4,5,1,7
98673.0,1,2,2,3,0,1,6,8,6
98677.0,0,1,0,2,2,5,0,2,8
98680.0,0,1,2,3,4,3,3,3,2
98689.0,0,1,0,2,2,5,0,2,8
98728.0,0,0,3,3,3,6,7,6,0
98733.0,0,2,2,3,0,1,6,8,6
98747.0,1,0,1,1,1,6,7,6,0
98748.0,1,0,1,1,1,6,7,6,0
98751.0,1,0,1,1,3,4,5,5,5
98762.0,0,1,0,2,2,5,0,2,9
98772.0,0,2,2,3,4,0,1,8,4
98775.0,1,0,3,1,3,6,4,7,5
98778.0,1,0,1,1,1,4,5,5,7
98780.0,0,1,0,2,2,5,0,2,8
98781.0,0,1,2,3,0,1,6,0,6
98791.0,1,0,3,1,3,6,7,6,0
98793.0,1,2,1,4,1,4,5,1,7
98804.0,0,1,0,2,2,1,6,0,6
98828.0,0,1,2,3,4,3,3,3,2
98832.0,1,0,1,1,3,4,5,5,5
98843.0,1,2,1,4,0,1,6,0,6
98846.0,1,2,1,4,0,1,6,8,3
98865.0,1,0,3,1,3,6,7,6,0
98877.0,1,0,3,1,3,6,4,7,9
98892.0,1,0,3,1,3,6,4,5,5
98902.0,1,2,1,4,1,4,5,1,7
98904.0,1,2,1,4,1,4,1,1,7
98910.0,1,0,3,1,3,6,5,5,5
98921.0,0,1,0,2,2,5,0,2,8
98932.0,0,1,0,2,2,5,0,2,8
