SEQN,K2_cluster,K3_cluster,K4_cluster,K5_cluster,K6_cluster,K7_cluster,K8_cluster,K9_cluster,K10_cluster
97620.0,0,1,2,1,3,0,2,1,7
97624.0,1,0,0,2,2,5,3,3,4
97638.0,1,2,1,4,4,1,7,5,1
97640.0,0,1,3,3,1,2,4,0,8
97643.0,0,1,3,1,3,4,2,1,6
97648.0,0,1,3,1,3,4,2,1,6
97659.0,0,2,1,3,1,2,4,0,8
97685.0,0,1,2,3,1,6,1,4,2
97688.0,0,1,2,0,0,0,5,6,9
97691.0,0,0,3,1,5,4,2,1,6
97692.0,1,2,1,4,4,2,4,5,1
97695.0,0,2,1,3,1,2,4,0,8
97699.0,1,0,0,2,5,3,6,2,3
97703.0,0,2,1,3,1,2,4,0,8
97704.0,0,0,3,1,5,3,6,2,3
97706.0,0,1,2,0,0,0,5,6,9
97735.0,0,2,1,3,1,2,4,0,8
97737.0,1,2,1,4,4,1,7,5,1
97741.0,1,0,0,2,2,5,3,7,4
97747.0,1,2,1,4,4,2,4,5,8
97768.0,1,0,3,1,5,4,0,7,0
97774.0,1,2,0,4,2,1,3,3,4
97782.0,1,0,0,2,2,5,0,7,0
97783.0,0,1,3,1,3,4,2,1,6
97787.0,1,0,0,2,2,5,0,7,0
97794.0,1,0,0,2,2,5,0,7,0
97827.0,0,1,3,1,5,2,4,2,8
97851.0,1,2,1,4,4,1,7,5,1
97876.0,1,0,3,1,5,2,4,7,0
97878.0,1,2,1,4,4,1,7,3,1
97896.0,1,0,0,2,5,3,6,2,3
97897.0,0,1,3,1,3,4,2,1,6
97928.0,0,2,1,4,1,2,4,0,8
97934.0,1,2,1,4,4,2,7,5,1
97940.0,1,2,1,4,4,1,7,4,4
97951.0,1,2,0,4,2,1,3,3,4
97952.0,0,0,3,1,5,2,6,2,3
97963.0,1,2,1,4,4,1,7,5,1
97974.0,1,0,0,2,2,3,3,7,4
97986.0,0,1,3,1,3,4,2,1,6
98018.0,1,2,1,4,4,1,7,5,1
98030.0,1,0,0,2,2,5,0,7,0
98033.0,1,0,0,2,4,5,0,7,0
98035.0,1,0,3,1,5,4,0,7,0
98046.0,0,1,3,1,3,4,2,1,6
98056.0,0,1,3,1,5,4,6,2,3
98082.0,0,1,2,0,0,0,5,6,9
98088.0,0,2,1,3,1,1,1,4,2
98092.0,0,1,2,3,1,6,1,4,2
98099.0,1,2,1,4,4,1,7,5,1
98100.0,0,1,2,3,1,6,1,0,2
98102.0,1,0,3,1,5,3,6,2,3
98103.0,1,0,0,4,4,5,7,5,1
98113.0,0,1,3,1,3,4,2,1,6
98135.0,0,1,3,1,3,4,2,1,6
98138.0,0,1,2,3,1,6,1,0,2
98144.0,1,0,0,2,5,3,6,2,3
98148.0,1,2,0,4,4,1,7,3,4
98156.0,0,1,2,1,5,3,6,2,3
98161.0,1,0,3,1,5,3,6,2,3
98168.0,1,0,0,2,5,3,6,2,3
98208.0,1,0,0,2,2,3,6,2,3
98225.0,0,1,2,3,1,6,1,0,7
98238.0,0,0,3,1,5,3,6,2,3
98241.0,1,2,1,4,4,1,7,5,1
98243.0,0,1,2,3,1,6,1,0,2
98256.0,1,0,0,2,5,3,6,2,3
98262.0,1,2,1,4,4,2,4,5,8
98271.0,0,1,3,1,5,2,4,0,8
98280.0,0,0,3,1,5,3,6,2,3
98293.0,0,1,2,1,3,4,2,0,8
98300.0,0,0,3,1,5,4,6,1,6
98314.0,0,2,1,3,1,2,4,4,8
98343.0,1,0,0,2,2,3,3,2,4
98350.0,0,1,2,0,0,0,5,6,9
98354.0,0,1,3,1,3,4,2,1,6
98374.0,0,1,3,1,3,4,2,1,6
98381.0,0,1,3,3,1,2,4,0,8
98416.0,1,0,0,2,2,5,3,3,4
98420.0,1,0,0,2,2,5,3,7,0
98426.0,1,2,1,4,4,1,7,3,1
98437.0,1,0,0,2,2,5,0,7,0
98444.0,0,1,3,1,5,4,2,1,6
98474.0,1,2,1,4,4,1,7,3,1
98475.0,0,2,1,3,1,2,4,0,8
98483.0,1,0,0,2,2,5,3,3,4
98485.0,1,2,1,4,4,1,7,5,1
98494.0,1,0,0,2,2,1,3,3,4
98495.0,1,2,0,4,4,2,3,3,4
98500.0,1,0,0,2,5,3,6,2,3
98512.0,0,1,3,0,0,0,5,6,9
98542.0,1,0,0,2,5,3,3,3,4
98545.0,1,0,0,2,2,5,0,7,0
98548.0,0,2,1,3,5,2,4,0,8
98551.0,1,0,0,2,5,5,0,7,0
98561.0,0,1,2,3,1,6,1,0,7
98565.0,1,0,0,2,2,5,3,3,4
98611.0,1,0,0,2,5,3,6,2,3
98661.0,1,0,0,2,2,5,3,3,4
98673.0,1,0,0,2,5,3,6,2,3
98677.0,0,1,2,3,1,6,1,0,8
98680.0,0,1,3,1,3,4,2,1,6
98689.0,0,1,2,3,1,2,4,0,8
98728.0,0,2,3,1,5,2,4,0,8
98733.0,1,0,3,1,5,3,6,2,3
98747.0,1,2,1,4,4,1,7,5,1
98748.0,1,2,1,4,4,5,0,5,0
98751.0,1,2,0,4,4,1,3,3,4
98762.0,0,1,2,3,1,6,1,0,8
98772.0,0,0,3,1,5,4,0,1,6
98775.0,1,2,1,4,4,1,7,5,1
98778.0,1,2,0,4,2,5,3,3,4
98780.0,0,1,2,3,1,6,1,0,2
98781.0,0,1,3,1,5,4,6,2,3
98791.0,1,2,1,4,4,1,7,5,1
98793.0,1,0,0,2,2,5,3,3,4
98804.0,0,1,2,1,1,3,6,2,3
98828.0,0,1,3,1,3,4,2,1,6
98832.0,1,2,0,4,4,1,7,3,4
98843.0,1,0,0,2,2,5,6,2,4
98846.0,1,0,3,2,5,3,6,2,3
98865.0,1,2,1,4,4,1,7,5,1
98877.0,1,2,1,4,4,1,7,4,1
98892.0,1,2,1,4,4,1,7,4,2
98902.0,1,0,0,2,2,5,3,3,4
98904.0,1,0,0,2,2,5,3,7,0
98910.0,1,2,1,4,4,1,7,5,1
98921.0,0,1,2,3,1,6,1,4,2
98932.0,0,1,2,3,1,6,1,4,2
98933.0,1,0,0,2,2,5,3,7,0
98944.0,0,1,1,3,1,2,4,0,8
98948.0,0,1,2,3,1,6,1,4,2
98951.0,0,1,2,1,3,4,2,8,5
98981.0,1,2,0,4,2,1,3,3,4
98988.0,0,1,3,0,0,0,5,6,9
98994.0,0,2,1,3,1,2,4,0,8
99001.0,0,2,1,3,1,2,4,0,8
99005.0,0,1,3,1,3,4,2,1,6
99023.0,1,2,1,4,4,1,7,5,1
99028.0,1,0,3,1,5,4,0,1,0
99067.0,1,2,1,4,4,1,7,5,1
99089.0,1,0,0,2,2,5,0,7,0
99099.0,0,1,3,1,5,4,2,1,6
99108.0,1,2,0,2,4,3,3,3,7
99110.0,1,0,0,2,2,5,3,3,4
99114.0,1,2,1,4,4,2,4,5,8
99121.0,0,1,3,1,3,4,2,8,5
99136.0,0,0,3,1,5,2,4,7,8
99138.0,1,2,1,4,4,2,4,5,8
99153.0,1,0,0,2,2,3,3,3,7
99154.0,0,2,2,3,1,6,1,4,2
99160.0,1,0,3,1,5,5,0,7,0
99167.0,1,0,3,2,5,3,0,7,0
99171.0,1,2,1,3,1,1,7,4,2
99197.0,1,0,0,2,2,5,3,3,4
99224.0,0,0,3,1,5,4,2,1,6
99237.0,1,0,0,2,5,3,6,2,3
99246.0,0,0,3,1,5,4,6,1,6
99247.0,1,2,1,4,4,2,7,5,1
99251.0,0,2,1,3,1,2,4,5,8
99260.0,0,1,3,1,3,4,2,1,6
99279.0,0,0,3,1,5,4,0,1,6
99291.0,0,1,2,0,0,0,5,6,9
99305.0,0,1,2,0,0,0,5,6,9
99315.0,1,2,0,4,4,1,7,3,4
99316.0,1,2,1,4,4,1,7,5,1
99318.0,1,0,0,2,2,5,3,3,4
99320.0,1,0,0,2,2,5,3,3,4
99321.0,1,2,1,4,4,1,7,4,1
99322.0,0,0,3,1,5,3,6,2,3
99335.0,1,2,1,4,4,2,4,5,8
99338.0,1,0,3,2,5,5,0,7,0
99345.0,0,2,1,3,1,6,1,4,2
99346.0,1,2,1,4,4,1,7,5,1
99364.0,1,2,1,4,4,2,7,5,1
99366.0,0,1,3,1,3,4,2,1,6
99376.0,0,1,2,3,1,2,4,0,8
99396.0,0,0,3,1,5,4,6,1,3
99401.0,1,0,0,2,2,5,3,3,4
99416.0,1,2,1,4,1,1,1,4,2
99427.0,0,1,3,1,3,4,2,8,5
99438.0,1,0,0,2,5,3,6,2,3
99442.0,1,0,0,2,2,5,0,7,0
99443.0,0,1,2,3,3,6,2,8,5
